temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.042,0.025,0.0
1,-1.0500000000000114,-11.42999999999995,0.098,0.052,0.023
2,0.10000000000002274,-20.45999999999998,0.086,0.047,0.018
3,-0.7899999999999636,-38.02999999999997,0.093,0.054,0.035
4,1.25,-53.95999999999998,0.088,0.047,0.032
5,2.6100000000000136,-79.89999999999998,0.067,0.045,0.029
6,6.060000000000002,-94.57999999999998,0.047,0.049,0.03
7,8.680000000000007,-108.81,0.043,0.05,0.029
8,10.590000000000032,-120.71999999999997,0.06,0.044,0.024
9,12.75,-128.62,0.06,0.041,0.016
10,14.04000000000002,-136.64,0.081,0.039,0.025
11,13.920000000000016,-144.51,0.097,0.05,0.02
12,15.939999999999998,-153.39,0.11,0.049,0.018
